,Unnamed: 0.1,Unnamed: 0,comment
0,0,0,mbak mau nanya untuk breakfastnya anak2 kena berapa ya di tentrem smg
1,1,1,bedepurrr
2,2,2,kalo bawa anak umur 8 dan 4 th kena charge ga sipengin ajak keluarga stay disini
3,3,3,bocan nnti tentrem ada di alam sutera tapi belum jadi 
4,4,4,
5,5,5,jadi ikut bangga jadi pemegang saham sidomuncul 
6,6,6,bagus  murah         good jobs    from boise idaho usa
7,7,7,mantab sekali
8,8,8,paling suka dari sini terutama jamu karena tentrem hotels  resorts ini kepunyaan sidomuncul group yang selalu aku support dari lama karena jamunya enak2
9,9,9,2 x nginep di hotel marina bay singapur tp ttp klah jauh sma hotel di negara sendiri the best negeri sendiri
10,10,10,sudah saya coba tinggal 3 malam disana dan mantap saya rekomendasikan dgn 100
11,11,11,makanannya halal ga mba  soalnya kan ada chinese food
12,12,12,lift nya kyk ex kantor aku di wisma gkbi
13,13,13,bocan ini ga ada kolam anak y
14,14,14,pengin healing di hotel tentrem 
15,15,15,pernah ke hotel tentrem jogja ambil paket buka puasa disana emg enak banget makanannya dan sangat banyak pilihan menunya
16,16,16,kak bocan apartemennya apk jg disewain ya kak
17,17,17,thanks utk info nya mantapp  maju terus ya bocan chanel  
18,18,18,hotel yang ada live musik nyakalau ndak ada live musik nya  umpama masakan hambar rasa nya kayak hotel bisu kurang hidup
19,19,19,aku udah pernah nginap
20,20,20,thanks bocan reviewnya salah satu motivasi nginep di sini buat buktiin rating 1010 breakfastnya proven 
21,21,21,surabaya donk bocan
22,22,22,jogja lagi
23,23,23,kolamnya bagus bgt ya kak enak bgt tuh buat berenang
24,24,24,wow mantepp bangettt
25,25,25,cobain sheraton lampung kak hotel legend nya lampung
26,26,26,cakepp
27,27,27,pernah kerja di sini
28,28,28,wih sangat bermanfaat bagi saya
29,29,29,deasiner cina  owner china pengunjung indo kita kan profinsi mereka 
30,30,30,hotel soll marina bangka
31,31,31,bocan bobo cantik orang bobo nggak ada yang cantik ada yang mulutnya mangap
32,32,32,kak hal terpenting saat review hotel tuh harga  cara dapetin promonya ya kak maohon disertakan  sekedar saran 
33,33,33,15jt mah worthed banget dengan fasilitas hotel sebening ini se keren ini kereeenn bocan sampe bilang breakfastnya terbaik tapi tentrem belum ada di bandung yaa hihihi   thankyou bocan the best pokoknya 
34,34,34,ingatlah untuk selalu me
35,35,35,ingatlah untuk selalu memberikan komentar yang
36,36,36,horeeee jakuzi
37,37,37,bibirnya bedarah
38,38,38,kapan2  bisa nyoba hotel di kota kecil  kota rembang jawa tengah ada  pollos hotel  gallery tepi pantai utara
39,39,39,makasih ya kakaktelah merekomendasi kota sy semarang
40,40,40,pengen nginep tp ada anjing di rumahku 
41,41,41,murah yah per mlmnya
42,42,42,makasih bocan aku suka banget cara bocan ngreview hotel dan jadi salah satu inspirasiku
43,43,43,berapa biaya masuknya
44,44,44,sotooo bokoraaan bukan bangkong yg terkenal bokoran itu tulisannya bokoran 
45,45,45,keren bgt viewnya pemandangannya kesenjangan sosial
46,46,46,gak suka kalo ada unsur unsur cinanya
47,47,47,ke hotel yk di banyuwangi dong
48,48,48,harga per malam berapa ka
49,49,49,maaantaap
50,50,50,semangat bocan dikit lagi 100k subs
51,51,51,itu di mana ya kkriviu hotel yg elit dekat bandara donk kk
52,52,52,keren sekali bocan
53,53,53,daerah mana
54,54,54,setujuu kak breakfast nya tentrem gk ada dua
55,55,55,kereeeeennnnnnn bgt 
56,56,56,hotel impian bangett nih bocandoain bulan ini bisa staycation disini yaa
57,57,57,thanks ya mbak  liputannya berguna bgt hotel solo mbak plis  tengkiu
58,58,58,se mlm brp yaaku kok pengen yg paling  murah brp ya se mlm
59,59,59,alhamdulillah dah pernah 
60,60,60,ga kebayang pas clear up abiss breakfast 
61,61,61,satu kekurangan tentrem ini lorong bawah tana utk parking nya gak jelas gak dikasih petunjuk dan jarang ada petugas
62,62,62,boleh lah kapan kapan nginep
63,63,63,itu breakpst udah termasuk harga inap 1malam inclued eksclued
64,64,64,setiap hari saya lewat sana kak soal nya rumah saya deket sana
65,65,65,itu hote lokasi tepatnya di jl apa ya
66,66,66,tarif harganya permalam berapa
67,67,67,keren banget ya hotel nya
68,68,68,di sini depositnya berapanya kak
69,69,69,sayang banget ga ada bathtab
70,70,70,sukses terus kakk  makasi dah bagi2 ilmu 
71,71,71,keren bngtt  tpi harga nya mahal bngt  semalem harganya 16 jt an
72,72,72,ingatsemarang bukan kaleng2 ya boss
73,73,73,jepara hadir gas kesana
74,74,74,aku pernah ke situ baguss banget deh
75,75,75,kokolam yg familiar buat fans trio bobrok
76,76,76,trims bocan makasih ya atas detailnya
77,77,77,tempat aku kerjawkwkwk
78,78,78,mewah banget hotel nya
79,79,79,mbak itu harga hotel nya berapa soal nya mau cobain tidur di situ
80,80,80,kerenn banget hotelnya semoga bisa nginep disitu
81,81,81,perabotannya dari hpl yg kesannya jd kayak hotel low budget
82,82,82,mantappp 
83,83,83,ko murah ya beneran ini 15 per mlm ini hrg via travel online atau walking guest
84,84,84,aku org semarang belom kesinitapi ke mallnya udah beberapa kali baguss 
85,85,85,boleh juga yg mau cari parfum branded dan non branded bisa hubungi saya yoo teman2 di semarang
86,86,86,brp semalem
87,87,87,minimalist ya kak warna kayu aman bocan pakai kamera apa kak tks jk dijawab 
88,88,88,rewiew hotel di tawangmangu dong kak daerah karanganyarsolo
89,89,89,next destination
90,90,90,sayangnya dulux ga pke bathtub novotel aja ada bathup nya
91,91,91,itu yg tukang parkirnya temen saya kakatolong dikasih tau sop nya kaka
92,92,92,coba donk ka nginep nginep di kota tasikmalaya asik asik dan saran hotel antara horison  santika  fave hotel
93,93,93,temenku kerja di sini
94,94,94,ada yg tau gakparfum ruangan di lobi tentrem pakai aroma apa 
95,95,95,keren bgt hotel nyadan mbak riview  nya sangat detil sy sangat suka sekali sukses trs yothanks
96,96,96,suaranya microponic enak bgt detail kalau jelasin apa apa dan slalu bkin mupeng
97,97,97,bocann boleh share nomor kamar berapa yang viewnya corner itu biar nanti kalo pas sempet nginep bisa request kamar yang viewnya dobel kayak bocannn 
98,98,98,saya yang supply lampunyaaa hehehh
99,99,99,sejak pertama kali lihat ulasan bocan di banyuwangi btw bocan sudah 2x road trip bali pengen banget 
100,100,100,kebiasaan gedung di indonesia pedestrian pejalan kaki tuh kek kurang diperhatikan
101,101,101,permlm brp y
102,102,102,keren bangetkak ada facebook gak kebetulan saya punya grup di facebookgrup khusus hotelnama grupnya info hotel  penginapan jawa tengahmungkin bisa posting review juga di grup saya kakterima kasih
103,103,103,terima kasih liputannya bocankeren banget hotelnya juga informasi bocan nyakalo di solo belum pernah di review ya hotel2nyaada info gak bocan hotel yg ada mini pantri nya  supaya bisa masak2 sendiri maksudnya makasih banyak ya bocan
104,104,104,assalamualaikum  shollu alaih  sukses untuk channel nya aaamiin yaa robb selamat siang 
105,105,105,pengambilan video pakai berapa resolusinya kak  108060fps apa 4k
106,106,106,kolam renangnya asyikbangeeeeet  paling murah rate 15
107,107,107,hotel tentrem ini klo gk salah punya e sidomuncul ya
108,108,108,keren n bagus y kakak komunikatif bingit jd g bosen nontonya lucu dan engga dibuat buat juga hehehe kontenya jg bermanfaat thx kak jd rencana mau dijadwalkan kesana meski org semarang sendiri
109,109,109,sbulan lalu  nginep di tentrem ada putri dyungnya tu kolam renangnya
110,110,110,xie xie cici bocan 
111,111,111,belakang tentrem rumah saya monggo mampir 
112,112,112,wahhh semarang 
113,113,113,kesan pertama nginep disini kecewa banget datang dr jam 12 checkin baru bs jma 1730 itu pun dengan tidak tersedia kamar yg dipesanbpadahal sdh di peaan dr 1 minggu lalu dan sdh ok dr pihak hotelnya padahal sewa kamar yg 3juta malah suruh down grade ke deluxe yg harganya 15 juta dimana mana orang kl kesalahan dr hitel mqlah diupgrade ini malah suruh down grade
114,114,114,kolam renang lantai putri duyung
115,115,115,thx informasinya ce saya noted utk refrensi kalo stay di semarang hehehe
116,116,116,bocan ke kota makassar 
117,117,117,inspirasi banget sebelum review pasti cari solusi di channel ini
118,118,118,selalu keren nih youtubenya bobo cantik
119,119,119,wahh mantap ya bund kebetulan aku juga di semarang ini
120,120,120,yok kak ke rumah ku
121,121,121,bisa dicoba nanti kalau padma hotel semarang  bintang lima beroperasi
122,122,122,sebentar lagi saingan sepadannya jadi hotel padma miliknya djarum
123,123,123,review hotel paling bagus di cirebon dong apa
124,124,124,kolam renang nya keren banget 
125,125,125,pernah mau coba pas ada diskon traveloktapi gak jadi karna hari diskon dengan duty tak berbanding lurusmantap kakak bocansalam vlogger dari nganjuk jatim
126,126,126,deposit kena berapa kak
127,127,127,kembali keliling hotel bandung z bocan he
128,128,128,keren banget bocan
129,129,129,keren gue suka sama vlog ini
130,130,130,the best reviewnya so far terima kasih bocan
131,131,131,mantapppbocan kalo review hotel gini diendors g 
132,132,132,review hotel di bengkulu dong hotel horizon tq bobor
133,133,133,bocan bisa rievew kuliner jg ng
134,134,134,mirip2 yaahh sama gumaya hotel di semarang juga hehe
135,135,135,golden tulip batu dong bocan aku kangen kesana nih
136,136,136,udah pernah ke manado belum coba destinasi disana selain hotel juga banyak destinasi2 wisata yang gak kalah kerennya termasuk kulinernya sedapsedap
137,137,137,kamera nya baru kayanya lebih jernih dr biasamya mantul
138,138,138,mudah2an bisa nginep dsini
139,139,139,teruskan ci review2 hotelnya trutama utk range harga 12 jt an smangat trs
140,140,140,hotel seruni next dong bocan
141,141,141,paling suka sama chanel ini karena pengambilan gambarnya keeeren banget  dan me rivew hotelnya jelas banget semoga semakin sukses terus bocan 
142,142,142,semoga lekas sembuh si kecil ati2 bocan 
143,143,143,hotel mewah di manado dongggg
144,144,144,bocan dalam sebulan tinggal di rumah brp kali ya hhheeee
145,145,145,patut di coba ni kalau k semarang kereen bocan 
146,146,146,mehong ni hotell
147,147,147,halo mbak mau tanya kalo breakfast di hotel2 seperti ini apakah dibolehkan ngambil makanan seperlunya utk cemal cemil di kamar
148,148,148,sangat informatif sekali videonya pengambilan gambarnyapun bagus suka
149,149,149,keren bgt 
150,150,150,woooooow kereeeeeeeeen kak
151,151,151,keren banget review hotel tentrem semarang  rencana aku ada solusi menginap ke sana sambil mengajak keluarga liburan tambah asyik dan tambah betah aja soalnya pemandangannya lebih keren dab kece banget sukses selalu bocan
152,152,152,yeay my hometown
153,153,153,mantab bocan lebih modern ya dari tentrem jogja
154,154,154,enak banget hotel disini sudah pernah nginap ada jacuzi ada sauna ada playground anak plus sebelahnya ada mall sayang masi sepi mallnya
155,155,155,hadir  mbak baru masuk dh betah pa lagi nginapwah bisa gk mau pulangmantpsalam suksesti baraya
156,156,156,11 menit yg lalu  keren 
157,157,157,alhamdulillah sudah 2x ke sini 
158,158,158,bagus banget
159,159,159,comment ke 3
160,160,160,langsung di klik dong firstdapet apa nih 
161,161,161,keren bocan
